method,num_steps,num_threads,result,runtime
atomic,10000000,1,3.14159,0.072327
atomic,10000000,1,3.14159,0.071994
atomic,10000000,1,3.14159,0.071798
atomic,10000,2,3.14159,0.000379
atomic,10000,2,3.14159,0.000462
atomic,10000,2,3.14159,0.000412
atomic,10000,2,3.14159,0.000371
atomic,10000,2,3.14159,0.000427
atomic,10000,2,3.14159,0.000421
atomic,10000,2,3.14159,0.00039
atomic,10000,2,3.14159,0.000425
atomic,10000,2,3.14159,0.000405
atomic,10000,2,3.14159,0.000435
atomic,100000,2,3.14159,0.00255
atomic,100000,2,3.14159,0.002434
atomic,100000,2,3.14159,0.002718
atomic,100000,2,3.14159,0.002573
atomic,100000,2,3.14159,0.002041
atomic,100000,2,3.14159,0.002748
atomic,100000,2,3.14159,0.002784
atomic,100000,2,3.14159,0.002525
atomic,100000,2,3.14159,0.002675
atomic,100000,2,3.14159,0.00234
atomic,1000000,2,3.14159,0.024675
atomic,1000000,2,3.14159,0.015493
atomic,1000000,2,3.14159,0.012985
atomic,1000000,2,3.14159,0.018774
atomic,1000000,2,3.14159,0.016314
atomic,1000000,2,3.14159,0.018927
atomic,1000000,2,3.14159,0.023525
atomic,1000000,2,3.14159,0.022278
atomic,1000000,2,3.14159,0.023459
atomic,1000000,2,3.14159,0.024233
atomic,10000000,2,3.14159,0.24029
atomic,10000000,2,3.14159,0.238403
atomic,10000000,2,3.14159,0.21137
atomic,10000000,2,3.14159,0.218526
atomic,10000000,2,3.14159,0.244492
atomic,10000000,2,3.14159,0.241122
atomic,10000000,2,3.14159,0.24176
atomic,10000000,2,3.14159,0.220974
atomic,10000000,2,3.14159,0.244868
atomic,10000000,2,3.14159,0.237648
atomic,10000,4,3.14159,0.000809
atomic,10000,4,3.14159,0.000696
atomic,10000,4,3.14159,0.000852
atomic,10000,4,3.14159,0.00074
atomic,10000,4,3.14159,0.000685
atomic,10000,4,3.14159,0.000819
atomic,10000,4,3.14159,0.000789
atomic,10000,4,3.14159,0.000812
atomic,10000,4,3.14159,0.000873
