num_threads,N,M,Gbytes,time
4,4,2,1.12e-07,0.075363
4,4,2,1.12e-07,0.074739
4,4,2,1.12e-07,0.065936
4,4,2,1.12e-07,0.068524
4,4,2,1.12e-07,0.067861
4,4,2,1.12e-07,0.066331
4,4,2,1.12e-07,0.064968
4,4,2,1.12e-07,0.065828
4,4,2,1.12e-07,0.071183
4,16,8,1.216e-06,0.065264
4,16,8,1.216e-06,0.079459
4,16,8,1.216e-06,0.092665
4,16,8,1.216e-06,0.089834
4,16,8,1.216e-06,0.092218
4,16,8,1.216e-06,0.081925
4,16,8,1.216e-06,0.097077
4,16,8,1.216e-06,0.17761
4,16,8,1.216e-06,0.071498
4,16,8,1.216e-06,0.063698
4,256,128,0.000265216,0.08691
4,256,128,0.000265216,0.096176
4,256,128,0.000265216,0.270965
4,256,128,0.000265216,0.10963
4,256,128,0.000265216,0.100585
4,256,128,0.000265216,0.085475
4,256,128,0.000265216,0.115244
4,256,128,0.000265216,0.089522
4,256,128,0.000265216,0.110456
4,256,128,0.000265216,0.111463
4,1024,512,0.00420659,0.088557
4,1024,512,0.00420659,0.097669
4,1024,512,0.00420659,0.111057
4,1024,512,0.00420659,0.07709
4,1024,512,0.00420659,0.11882
4,1024,512,0.00420659,0.099942
4,1024,512,0.00420659,0.047943
4,1024,512,0.00420659,0.123208
4,1024,512,0.00420659,0.132029
4,1024,512,0.00420659,0.055489
4,4096,2048,0.067158,0.102399
4,4096,2048,0.067158,0.104212
4,4096,2048,0.067158,0.17897
4,4096,2048,0.067158,0.097367
4,4096,2048,0.067158,0.094168
4,4096,2048,0.067158,0.084705
4,4096,2048,0.067158,0.0967
4,4096,2048,0.067158,0.082731
4,4096,2048,0.067158,0.079265
4,4096,2048,0.067158,0.114687
4,16384,8192,1.07394,0.206054
4,16384,8192,1.07394,0.365676
4,16384,8192,1.07394,0.259306
4,16384,8192,1.07394,0.322067
4,16384,8192,1.07394,0.197516
4,16384,8192,1.07394,0.259178
4,16384,8192,1.07394,0.146293
4,16384,8192,1.07394,0.141347
4,16384,8192,1.07394,0.210957
4,16384,8192,1.07394,0.235218
4,32768,16384,4.29536,0.4868
4,32768,16384,4.29536,0.662646
4,32768,16384,4.29536,0.639398
4,32768,16384,4.29536,0.582323
4,32768,16384,4.29536,0.633923
4,32768,16384,4.29536,0.589213
4,32768,16384,4.29536,0.553142
4,32768,16384,4.29536,0.588804
4,32768,16384,4.29536,0.509842
4,32768,16384,4.29536,0.430016
8,4,2,1.12e-07,0.123179
8,4,2,1.12e-07,0.270989
8,4,2,1.12e-07,0.085381
8,4,2,1.12e-07,0.102293
8,4,2,1.12e-07,0.072717
8,4,2,1.12e-07,0.098015
8,4,2,1.12e-07,0.065591
8,4,2,1.12e-07,0.128945
8,4,2,1.12e-07,0.072556
8,4,2,1.12e-07,0.110577
8,16,8,1.216e-06,0.081715
8,16,8,1.216e-06,0.111779
8,16,8,1.216e-06,0.296015
8,16,8,1.216e-06,0.088244
8,16,8,1.216e-06,0.104325
8,16,8,1.216e-06,0.084148
8,16,8,1.216e-06,0.10651
8,16,8,1.216e-06,0.061545
8,16,8,1.216e-06,0.127808
8,16,8,1.216e-06,0.113911
8,256,128,0.000265216,0.127394
8,256,128,0.000265216,0.111823
8,256,128,0.000265216,0.122448
8,256,128,0.000265216,0.112134
8,256,128,0.000265216,0.110372
8,256,128,0.000265216,0.06959
8,256,128,0.000265216,0.092726
8,256,128,0.000265216,0.116276
8,256,128,0.000265216,0.114015
8,256,128,0.000265216,0.114473
8,1024,512,0.00420659,0.101017
8,1024,512,0.00420659,0.10391
8,1024,512,0.00420659,0.107405
8,1024,512,0.00420659,0.111591
8,1024,512,0.00420659,0.071594
8,1024,512,0.00420659,0.09408
8,1024,512,0.00420659,0.106643
8,1024,512,0.00420659,0.099275
8,1024,512,0.00420659,0.096656
8,1024,512,0.00420659,0.094093
8,4096,2048,0.067158,0.120498
8,4096,2048,0.067158,0.128981
8,4096,2048,0.067158,0.096768
8,4096,2048,0.067158,0.075969
8,4096,2048,0.067158,0.125586
8,4096,2048,0.067158,0.097846
8,4096,2048,0.067158,0.101593
8,4096,2048,0.067158,0.131853
8,4096,2048,0.067158,0.097258
8,4096,2048,0.067158,0.12223
8,16384,8192,1.07394,0.180667
8,16384,8192,1.07394,0.192246
8,16384,8192,1.07394,0.197372
8,16384,8192,1.07394,0.190654
8,16384,8192,1.07394,0.188358
8,16384,8192,1.07394,0.190604
8,16384,8192,1.07394,0.19262
8,16384,8192,1.07394,0.217515
8,16384,8192,1.07394,0.247958
8,16384,8192,1.07394,0.193269
8,32768,16384,4.29536,0.483493
8,32768,16384,4.29536,0.48477
8,32768,16384,4.29536,0.479655
8,32768,16384,4.29536,0.469995
8,32768,16384,4.29536,0.450987
8,32768,16384,4.29536,0.449219
8,32768,16384,4.29536,0.469633
8,32768,16384,4.29536,0.540202
8,32768,16384,4.29536,0.490304
8,32768,16384,4.29536,0.434435
